module,related_mods
CG2271,"['CS2106', 'CS3211', 'CS3235', 'CS4223', 'CS5250', 'EE5903', 'CG4002']"
CG3207,"['CG2028', 'EE2028', 'EE3207E', 'TEE3207', 'CS4223', 'EE5902']"
CG4001,"['EE4001', 'CP4101']"
CG4002,"['CG2028', 'CG2271', 'CS5476', 'CS4276']"
CG4003,"['CG4001', 'CP4101', 'CP4106', 'CP3880', 'EE4001', 'EE4002R', 'EG3611A']"
CH4401,['CH4660']
CH4660,['CH4401']
CH5213,['CH6201']
CL1101E,['CL3204']
CL2280,"['CL3281', 'CL3284', 'CL3285', 'CL3286']"
CL2281,"['CL3281', 'CL3284', 'CL3285', 'CL3286']"
CL3204,['CL1101E']
CL3281,"['CL2280', 'CL2281']"
CL3284,"['CL2280', 'CL2281']"
CL3285,"['CL2280', 'CL2281']"
CL3286,"['CL2280', 'CL2281']"
CLC1101,"['CLC2101', 'CLC2201', 'CLC2202', 'CLC3305']"
CLC2101,"['CLC2201', 'CLC2202']"
CLC2201,"['CLC1101', 'CLC2101', 'CLC2202', 'CLC2202', 'SC2101', 'SW3101', 'CLC3305']"
CLC2202,"['CLC1101', 'SC2101', 'SW3101', 'CLC2201', 'CLC3305']"
CLC3301,['NM4230']
CLC3305,['SC2101']
CM1111,"['CM2111', 'CM2288', 'CM2289', 'CM4282']"
CM1121,"['CM1501', 'CM1401', 'BN3301', 'MLE3104', 'CM2121', 'CM2288', 'CM2289', 'CM4269', 'CM4227', 'FST2102B']"
CM1131,"['CM2101', 'CM2288', 'CM2289', 'SP2251', 'CM4269', 'CM3252', 'CM3253', 'CM4282']"
CM1191,"['CM2191', 'CM2192', 'FST2107']"
CM1401,"['CM1121', 'CM1402', 'CM1501', 'CM4227']"
CM1402,"['CM1417', 'CM1401']"
CM1501,"['CM1417', 'CM1121', 'CM1401', 'BN3301', 'MLE3104', 'FST2102B']"
CM2101,"['CM1131', 'CM3231', 'CM3292', 'CM3296', 'CM4236', 'CM4269']"
CM2111,"['CM1111', 'CM3212', 'CM3291', 'CM3253']"
CM2121,"['CM1121', 'CM3221', 'CM3222', 'CM3225', 'CM3291', 'CM4271', 'CM4269', 'CM3252', 'CM4228', 'CM4225']"
CM2191,"['CM1191', 'CM3291', 'CM3267']"
