module,related_mods
BSE3702,"['BSP1703', 'EC1101E', 'EC1301', 'EC2101']"
BSE3703,"['BSP1703', 'EC1101E', 'EC1301', 'EC3303', 'BSN4811A', 'BSS4003B']"
BSE3711,"['BSP1005', 'EC3312']"
BSE3751,[]
BSE4711,"['BSP1703', 'EC1101E', 'EC1301', 'IS3240']"
BSE4751,[]
BSN3701,['IS3251']
BSN3702,[]
BSN3703,[]
BSN3715,[]
BSN3716,[]
BSN3751,[]
BSN4711,"['BSP1702', 'BSP1703', 'BSP2701']"
BSN4751,[]
BSN4811,"['EC1101E', 'BSS4003A']"
BSN4811A,"['EC3303', 'BSE3703', 'ST3131', 'BSN4811']"
BSP1004,"['ACC3604', 'ACC3605', 'ACC3616']"
BSP1004X,[]
BSP1005,"['EC2101', 'EC2102', 'EC2374', 'EC3303', 'EC2383', 'BSS4003A', 'BSE3711', 'MKT3513']"
BSP1005X,[]
BSP1702,"['RE1703', 'ACC3702', 'ACC3703', 'ACC3706', 'BSN4711']"
BSP1702X,"['RE1703', 'ACC3702', 'ACC3703', 'ACC3706']"
BSP1703,"['EC2101', 'EC2102', 'EC2374', 'EC2383', 'BSP2701', 'BSE3702', 'BSE3703', 'BSE3701', 'BSE4711', 'BSN4811', 'BSP2011', 'BSN3715', 'BSN4711', 'MKT4714']"
BSP1703X,[]
BSP1707A,['BSP1005']
BSP1707B,['BSP1005']
BSP2005,[]
BSP2011,"['EC1101E', 'BSP2701', 'BSP2005']"
BSP2701,"['BSP1703', 'EC1101E', 'EC1301', 'BSE3701', 'BSP2011', 'BSN3715', 'BSN4711']"
BSP3001A,"['BSP3001B', 'BSP3001C']"
BSP3001B,"['BSP3001A', 'BSP3001C']"
BSP3001C,"['BSP3001A', 'BSP3001B']"
BSP3701A,[]
BSP3701B,[]
BSP3701C,[]
BSS4003A,"['BSP1005', 'EC1301', 'DSC2008', 'EC2303']"
BSS4003B,"['EC3303', 'BSE3703', 'ST3131', 'BSN4811']"
BT1101,"['DSC1007', 'DSC1007X', 'EC2303', 'IS4241', 'BT2101', 'BT2102']"
BT2101,"['MA1102R', 'CP3880', 'BT3101', 'BT3102', 'BT4211', 'BT4212', 'BT4221', 'BT4222', 'IS4010', 'BT4240', 'BT4015', 'BT4016']"
BT2102,"['CS1010', 'BT1101', 'IS3240', 'BT3101', 'BT4211', 'BT4221', 'BT4222', 'IS4010', 'BT3103', 'IS4302', 'BT4014', 'BT4015', 'BT4016']"
BT3101,"['BT2101', 'BT2102', 'IS2101']"
BT3102,"['BT2101', 'BT4103', 'BT4012', 'BT4013']"
BT3103,"['BT2102', 'IS4242', 'BT4103']"
BT4010,['BT4011']
BT4011,"['BT4010', 'BT3101']"
BT4012,['BT3102']
BT4013,['BT3102']
BT4014,"['BT2102', 'IS5006']"
BT4015,"['BT2101', 'BT2102', 'CS2040']"
BT4016,"['BT2101', 'BT2102']"
BT4101,[]
BT4103,"['BT3102', 'BT3103', 'IS2101', 'BT3101']"
BT4211,['MKT1705X']
BT4212,[]
BT4221,"['BT2101', 'DBA3803', 'CS4225', 'CS5425']"
BT4222,"['BT2101', 'DBA3803']"
BT4240,"['MA1101R', 'MA1102R', 'IT3011', 'CS3244', 'IS4152']"
BT5110,['CS5344']
BT5126,['IS5126']
BT5151,"['BT4222', 'ST5202', 'IS5152']"
BT5153,['BT4222']
BX5101,[]
BZD6004,[]
BZD6009,[]
BZD6010,[]
BZD6011,[]
BZD6013,[]
BZD6014,[]
BZD6015,[]
CAS5101,[]
CAS6660,[]
CDM5101,['CDM5102']
CDM5102,['CDM5101']
CDM5103,[]
CDM5104,[]
CE1101A,[]
CE2102,[]
CE2112,"['TCE2112', 'CE5104', 'CE5106', 'CE5107', 'CE5108', 'OT5206', 'CE3115', 'CE3116']"
CE2134,"['ME2134', 'TCE2134', 'ESE5203', 'CE6077B', 'CE3132', 'ESE3401']"
CE2155,"['TCE2155', 'CE5513', 'CE5604', 'OT5202', 'CE3155', 'CE3166']"
CE2183,"['TCE2183', 'CE5804', 'CE5805', 'CE5806']"
CE2407,"['TCE2407', 'EE3801', 'EE4802', 'IE2100', 'IE3101', 'IE4211', 'CE6077A', 'CE6077C', 'CE3121', 'CE4258']"
CE3102,[]
CE3115,"['CE2112', 'TCE3115']"
CE3116,"['CE2112', 'TCE3116', 'CE5107']"
CE3121,"['CE2407', 'TCE3121', 'CE5203', 'CE5205', 'CE5209', 'CE4221']"
CE3132,"['CE2134', 'TCE3132', 'CE5312', 'CE5315', 'CE5316A']"
CE3155,"['CE2155', 'TCE3155', 'CE3165', 'CE3166', 'CE4257', 'CE4258']"
CE3165,"['CE3155', 'TCE3165', 'CE5510', 'CE5610']"
CE3166,"['CE2155', 'CE3155', 'TCE3166', 'CE5509']"
CE3201,[]
CE3202,[]
CE3203,[]
CE3204,[]
CE4103,['TCE4103']
CE4104,['TCE4104']
CE4221,['CE3121']
CE4257,['CE3155']
CE4257A,[]
CE4257B,['CE4257A']
CE4258,"['CE2407', 'CE3155']"
CE5001,[]
CE5101,[]
CE5104,['CE2112']
CE5104A,[]
CE5104B,[]
CE5106,['CE2112']
CE5106A,[]
CE5106B,['CE5106A']
CE5107,"['CE2112', 'CE3116', 'TCE5107']"
CE5107A,[]
CE5107B,['CE5107A']
CE5108,"['CE2112', 'CE5112']"
CE5108A,[]
CE5108B,['CE5108A']
CE5111,[]
CE5112,['CE5108']
CE5113,[]
CE5113A,[]
CE5113B,['CE5113A']
CE5203,['CE3121']
CE5204,[]
CE5205,['CE3121']
CE5209,['CE3121']
CE5307A,['CE5308']
CE5307B,[]
CE5307C,[]
CE5308,['CE5307A']
CE5310,[]
CE5312,['CE3132']
CE5314,[]
CE5315,['CE3132']
CE5316A,['CE3132']
CE5316B,['CE5316A']
CE5316C,['CE5316A']
CE5509,['CE3166']
CE5509A,[]
CE5509B,[]
CE5510,"['CE3165', 'TCE5510']"
CE5510A,[]
CE5510B,['CE5510A']
CE5513,['CE2155']
CE5603,[]
CE5604,"['CE2155', 'TCE5604']"
CE5610,['CE3165']
CE5610A,[]
CE5610B,[]
CE5611,['CE5610']
CE5611A,[]
CE5611B,[]
CE5666,[]
CE5804,['CE2183']
CE5805,['CE2183']
CE5805A,[]
CE5805B,[]
CE5806,['CE2183']
CE5806A,[]
CE5806B,[]
CE5807A,[]
CE5807B,[]
CE5808,"['CE5808A', 'CE5808B']"
CE5808A,[]
CE5808B,[]
CE5881,[]
CE5883A,[]
CE5999,[]
CE6001,[]
CE6002,[]
CE6006,[]
CE6077A,['CE2407']
CE6077B,['CE2134']
CE6077C,['CE2407']
CE6101,[]
CE6102,[]
CE6999,[]
CFG1002,['CFG2002']
CFG2002,['CFG1002']
CG1111,"['EE2026', 'EE2029', 'CG1112', 'CG2027']"
CG1112,"['CS1010', 'CG1111']"
CG2023,"['MA1512', 'EE2023', 'EE4704', 'EE4205']"
CG2027,"['CG1111', 'EE3431C']"
CG2028,"['CS1010', 'CS3210', 'CS3237', 'CG4002']"
CG2271,"['CS2106', 'CS3211', 'CS3235', 'CS4223', 'CS5250', 'EE5903', 'CG4002']"
CG3207,"['CG2028', 'EE2028', 'EE3207E', 'TEE3207', 'CS4223', 'EE5902']"
CG4001,"['EE4001', 'CP4101']"
CG4002,"['CG2028', 'CG2271', 'CS5476', 'CS4276']"
CG4003,"['CG4001', 'CP4101', 'CP4106', 'CP3880', 'EE4001', 'EE4002R', 'EG3611A']"
CH1101E,[]
CH2121,[]
CH2141,[]
CH2161,[]
CH2221,[]
CH2293,[]
CH2390,[]
CH2391,[]
CH2392,[]
CH2393,[]
CH3221,[]
CH3222,[]
CH3225,[]
CH3230,[]
CH3246,[]
CH3255,[]
CH3273,[]
CH3550,[]
CH3882A,[]
CH4207,[]
CH4223,[]
CH4226,[]
CH4243,[]
CH4261,[]
CH4281,[]
CH4401,['CH4660']
CH4660,['CH4401']
CH5210,[]
CH5210R,[]
CH5213,['CH6201']
CH5242,[]
CH5242R,[]
CH5243,[]
CH5243R,[]
CH5247,[]
CH5247R,[]
CH5660,[]
CH6201,[]
CH6203,[]
CH6227,[]
CH6241,[]
CH6243,[]
CH6249,[]
CH6262,[]
CH6770,[]
CHC5101,[]
CHC5102,[]
CHC5301,[]
CHC5302,[]
CHC5303,[]
CHC5304,[]
CHC5305,[]
CHC5307,[]
CHC5308,[]
CHC5310,[]
CHC5313,[]
CHC5314,[]
CHC5315,[]
CHC5316,[]
CHC5317,[]
CHC5319,[]
CHC5322,[]
CHC5326,[]
CHC5330,[]
CHC5331,[]
CHC5332,[]
CHC5333,[]
CHC5334,[]
CL1101E,['CL3204']
CL2101,[]
CL2102,[]
CL2103,[]
CL2104,[]
CL2280,"['CL3281', 'CL3284', 'CL3285', 'CL3286']"
CL2281,"['CL3281', 'CL3284', 'CL3285', 'CL3286']"
CL2291,[]
CL3202,[]
CL3204,['CL1101E']
CL3208,[]
CL3211,[]
CL3215,[]
CL3281,"['CL2280', 'CL2281']"
CL3284,"['CL2280', 'CL2281']"
CL3285,"['CL2280', 'CL2281']"
CL3286,"['CL2280', 'CL2281']"
CL3550,[]
CLC1101,"['CLC2101', 'CLC2201', 'CLC2202', 'CLC3305']"
CLC2101,"['CLC2201', 'CLC2202']"
CLC2201,"['CLC1101', 'CLC2101', 'CLC2202', 'CLC2202', 'SC2101', 'SW3101', 'CLC3305']"
CLC2202,"['CLC1101', 'SC2101', 'SW3101', 'CLC2201', 'CLC3305']"
CLC2204,[]
CLC3301,['NM4230']
CLC3302,[]
CLC3303,[]
CLC3305,['SC2101']
CM1111,"['CM2111', 'CM2288', 'CM2289', 'CM4282']"
CM1121,"['CM1501', 'CM1401', 'BN3301', 'MLE3104', 'CM2121', 'CM2288', 'CM2289', 'CM4269', 'CM4227', 'FST2102B']"
CM1131,"['CM2101', 'CM2288', 'CM2289', 'SP2251', 'CM4269', 'CM3252', 'CM3253', 'CM4282']"
CM1191,"['CM2191', 'CM2192', 'FST2107']"
CM1401,"['CM1121', 'CM1402', 'CM1501', 'CM4227']"
CM1402,"['CM1417', 'CM1401']"
CM1417,[]
CM1501,"['CM1417', 'CM1121', 'CM1401', 'BN3301', 'MLE3104', 'FST2102B']"
CM2101,"['CM1131', 'CM3231', 'CM3292', 'CM3296', 'CM4236', 'CM4269']"
CM2111,"['CM1111', 'CM3212', 'CM3291', 'CM3253']"
CM2121,"['CM1121', 'CM3221', 'CM3222', 'CM3225', 'CM3291', 'CM4271', 'CM4269', 'CM3252', 'CM4228', 'CM4225']"
CM2191,"['CM1191', 'CM3291', 'CM3267']"
CM2192,"['CM1191', 'CM3241', 'CM3242', 'CM3261', 'CM3292', 'CM3267']"
CM2288,['CM1111']
CM2289,"['CM1111', 'CM1121']"
CM3212,"['CM2111', 'CM4211', 'CM4212', 'CM4214']"
CM3221,"['CM2121', 'CM5268', 'CM4274']"
CM3222,['CM2121']
CM3225,"['CM2121', 'CM4271']"
CM3231,['CM2101']
CM3241,['CM2192']
CM3242,"['CM2192', 'LSM2191', 'CM4241', 'CM4242']"
CM3251,['SP2251']
CM3252,"['CM1131', 'CM2121', 'CM4251', 'CM4252', 'CM4258']"
CM3253,"['CM1131', 'CM2111', 'CM4251', 'CM4253', 'CM4254']"
CM3261,['CM2192']
CM3267,"['CM2191', 'CM2192', 'FST2102B']"
CM3288,[]
CM3289,[]
CM3291,"['CM2111', 'CM2121', 'CM2191']"
CM3292,"['CM2101', 'CM2192']"
CM3296,['CM2101']
CM3301,[]
CM3302,[]
CM3310,[]
CM3311,[]
CM3312,[]
CM4199A,['CM4299']
CM4211,['CM3212']
CM4212,"['CM3212', 'CM5211']"
CM4214,"['CM3212', 'CM5212']"
CM4225,['CM2121']
CM4227,"['CM1121', 'CM1401', 'LSM1401']"
CM4228,['CM2121']
CM4236,['CM2101']
CM4241,['CM3242']
CM4242,"['CM3242', 'CM5241']"
CM4251,"['CM3252', 'CM3253']"
CM4252,['CM3252']
CM4253,['CM3253']
CM4254,['CM3253']
CM4258,['CM3252']
CM4269,"['CM1121', 'CM1131']"
CM4271,"['CM2121', 'CM3225']"
CM4274,['CM3221']
CM4282,"['CM1131', 'CM1111']"
CM4299,[]
CM5100,['CM5100A']
CM5100A,['CM5100']
CM5101,[]
CM5151,[]
CM5152,['CM5244']
CM5161,[]
CM5198,[]
CM5199,[]
CM5211,['CM4212']
CM5212,['CM4214']
CM5221,[]
CM5223,[]
CM5224,[]
CM5225,[]
CM5232,[]
CM5237,[]
CM5241,['CM4242']
CM5244,[]
CM5245,[]
CM5262,[]
CM5263,[]
CM5268,[]
CN1101A,[]
CN1111E,"['TCN1111', 'CN2116E', 'CN2121E', 'CN3132E', 'CN4118E']"
CN2101,['CN3132']
CN2102,[]
CN2108,['CN3108']
CN2116,"['CN3108', 'CN4201R', 'CN4211R', 'CN4247R', 'CN4240R', 'CN4246R', 'CN4248', 'CN4122', 'CN4250', 'CN4251', 'CN3101']"
CN2116E,"['CN1111E', 'TCN2116', 'CN2125E', 'CN3421E', 'CN4118E', 'CN4122E']"
CN2121,"['CN2108', 'CN3132', 'CN4211R', 'CN3135', 'CN4122', 'CN4251', 'CN3101']"
CN2121E,"['CN1111E', 'TCN2121', 'CN3421E', 'CN3132E', 'CN4118E', 'CN3135E', 'CN4122E']"
CN2122,"['BN4202', 'CN2108', 'CN3135', 'CN3101']"
CN2122A,"['CN2122', 'CN3135']"
CN2122E,"['TC2411', 'TCN2122', 'CN2125E', 'CN3124E', 'CN4118E', 'CN3135E', 'CN4233E']"
CN2125,"['CN3108', 'CN3132', 'CN4215R', 'CN4205R', 'CN4251', 'CN3101']"
CN2125E,"['CN2122E', 'TCN2125', 'CN3421E', 'CN3132E', 'CN4118E', 'CN4205E', 'CN4233E']"
CN3101,[]
CN3102,[]
CN3108,[]
CN3109,[]
CN3121,"['CN3109', 'CN4227R', 'CN3102', 'CN4221R']"
CN3121E,"['TC2411', 'TCN3121', 'CN4118E', 'CN4227E']"
CN3124A,[]
CN3124E,"['CN2122E', 'TCN3124', 'CN4118E', 'CN4122E']"
CN3132,"['CN3109', 'CN4201R', 'CN4215R', 'CN5173', 'CN4248', 'CN4250', 'CN4251', 'CN3102']"
CN3132E,"['CN1111E', 'CN2121E', 'CN2125E', 'TCN3132', 'CN4118E', 'CN4122E']"
CN3135,"['CN4123R', 'CN4123', 'CN4250']"
CN3135E,"['CN2121E', 'CN2122E', 'TCN3135', 'CN4118E', 'CN4124E']"
CN3421,"['CN4205R', 'CN4123']"
CN3421E,"['CN2116E', 'CN2121E', 'CN2125E', 'TCN3421', 'CN4118E', 'CN4205E', 'CN4242E', 'CN4124E']"
CN4118,"['CN3108', 'CN3101', 'CN4118', 'CN4118']"
CN4118E,"['TC1422', 'CN1111E', 'CN2121E', 'CN2122E', 'CN2116E', 'CN2125E', 'CN3124E', 'CN3421E', 'CN3121E', 'CN3132E', 'CN4119E', 'TCN4119']"
CN4118R,"['CN3108', 'CN3121', 'CN3132', 'CN3135', 'CN3421']"
CN4119E,"['TCN4119', 'CN4118E']"
CN4122,"['CN4123R', 'CN4123', 'CN4221R']"
CN4122E,"['CN2116E', 'CN2121E', 'CN3124E', 'CN3132E', 'TCN4122', 'CN4124E']"
CN4123,[]
CN4123R,[]
CN4124E,"['CN3135E', 'CN3421E', 'CN4122E', 'TG2415', 'TCN4124']"
CN4201R,[]
CN4203R,[]
CN4205E,"['CN2125E', 'CN3421E']"
CN4205R,[]
CN4210E,['TCN4210']
CN4211R,[]
CN4215R,[]
CN4216E,"['TC1422', 'TCN4216']"
CN4218,[]
CN4221R,[]
CN4223R,[]
CN4227E,"['CN3121E', 'TCN4227']"
CN4227R,[]
CN4233E,"['CN2122E', 'CN2125E', 'PR3145', 'TCN4233']"
CN4238R,[]
CN4240E,['TCN4240']
CN4240R,[]
CN4242E,"['TC2411', 'CN3421E', 'TCN4242']"
CN4246E,['TCN4246']
